"","ID","p_value_UT_max","p_value_test_min","M_HOM0.1","M_HOM0.2","M_HOM0.3","hom_by_AIC","M_AIC.1","M_AIC.2","M_AIC.3","p_value_UT_hom_AIC","p_value_S_hom_AIC","hom_by_AIC_corr","M_AIC_corr.1","M_AIC_corr.2","M_AIC_corr.3","p_value_UT_hom_AIC_corr","p_value_S_hom_AIC_corr","het_by_AIC","S_AIC.1","S_AIC.2","S_AIC.3","p_value_UT_het_AIC","p_value_S_het_AIC","het_by_AIC_corr","S_AIC_corr.1","S_AIC_corr.2","S_AIC_corr.3","p_value_UT_het_AIC_corr","p_value_S_het_AIC_corr","by_AIC","Delta_AIC","by_AIC_corr","Delta_AIC_corr"
"19","Cortes_Ery_opto",0.8708,0.3468,7.816079e-01,6.234914e-01,9.781542e-01,"HOM0",  0.78160793,  0.62349136,  0.97815418,0.8708,0.4134,"HOM0",7.816079e-01,6.234914e-01,9.781542e-01,0.8708,0.4134,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.6641,0.5385,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.6641,0.5385,"HOM0", -0.636892017,"HOM0", -0.497792076
"20","Cortes_Ery_rif",0.9626,0.8477,1.247873e+00,1.009733e+00,1.499264e+00,"HOM2",  2.06877091,  1.57460297,  2.80751343,0.6453,0.4681,"HOM2",2.068771e+00,1.574603e+00,2.807513e+00,0.6453,0.4681,"HET0",1.861726e+00,7.264615e-01,3.141253e+00,0.9121,0.9995,"HET0",1.861726e+00,7.264615e-01,3.141253e+00,0.9121,0.9995,"HOM2",-10.530149040,"HOM2", -9.850495360
"21","Cortes_Pen_opto",0.8721,0.0000,2.514609e+00,1.990962e+00,3.146943e+00,"HOM0",  2.51460936,  1.99096195,  3.14694305,0.8655,0.2479,"HOM0",2.514609e+00,1.990962e+00,3.146943e+00,0.8655,0.2479,"HET2",4.505780e+05,9.071225e+04,3.873439e+07,0.8683,0.5604,"HET2",4.505780e+05,9.071225e+04,3.873439e+07,0.8683,0.5604,"HOM0", -3.165426292,"HOM0", -3.672815455
"22","Cortes_Pen_rif",0.9637,0.0000,9.672353e-01,7.578449e-01,1.193411e+00,"N1",  1.00000000,  1.00000000,  1.00000000,0.4715,0.8511,"N1",1.000000e+00,1.000000e+00,1.000000e+00,0.4715,0.8511,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.9556,0.9748,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.9556,0.9748,"N1", -3.386826707,"N1", -3.234485686
"23","Dapa_MMC_24h",0.9134,0.0002,3.662097e+00,3.157804e+00,1.134310e+01,"HOM1",  6.49768539,  4.27892064,  9.34972698,0.4071,0.7998,"HOM1",6.497685e+00,4.278921e+00,9.349727e+00,0.4071,0.7998,"HET0",2.627073e+01,1.781754e+01,3.686787e+01,0.9195,0.2768,"HET0",2.627073e+01,1.781754e+01,3.686787e+01,0.9195,0.2768,"HET0",  0.703696274,"HET0",  0.863641592
"24","Dapa_MMC_48h",0.8649,0.0000,2.759971e+00,2.088614e+00,1.389160e+01,"HOM2", 11.48904292,  5.48074556, 29.09038271,0.6123,0.2015,"HOM2",1.148904e+01,5.480746e+00,2.909038e+01,0.6123,0.2015,"HET0",2.776459e+01,2.063401e+01,3.608335e+01,0.9758,0.2301,"HET0",2.776459e+01,2.063401e+01,3.608335e+01,0.9758,0.2301,"HOM2", -1.062529232,"HOM2", -0.699708719
"25","Frenoy_H2O2_1",0.5433,0.0000,4.483221e+00,3.360338e+00,6.286170e+00,"HOM0",  4.48322135,  3.36033761,  6.28616973,0.1260,0.8023,"HOM0",4.483221e+00,3.360338e+00,6.286170e+00,0.1260,0.8023,"HET2",3.755459e+00,2.355814e+00,6.843638e+01,0.1231,0.7253,"HET2",3.755459e+00,2.355814e+00,6.843638e+01,0.1231,0.7253,"HOM0", -3.931109307,"HOM0", -4.610762987
"26","Frenoy_H2O2_2",0.5413,0.0000,6.661197e+00,4.992809e+00,9.340028e+00,"HOM2", 14.61786323,  9.40892891, 24.80934314,0.5413,0.5940,"HOM2",1.461786e+01,9.408929e+00,2.480934e+01,0.5413,0.5940,"HET2",4.092171e+01,2.813490e+01,6.893827e+01,0.1256,0.6306,"HET2",4.092171e+01,2.813490e+01,6.893827e+01,0.1256,0.6306,"HOM2", -2.196230751,"HOM2", -2.196230751
"27","Frenoy_H2O2_3",0.5404,0.0000,2.022894e+01,1.516232e+01,2.836410e+01,"HOM2", 46.70858014, 30.06442892, 79.27350081,0.5404,0.5625,"HOM2",4.670858e+01,3.006443e+01,7.927350e+01,0.5404,0.5625,"HET2",1.278185e+02,9.123474e+01,1.952100e+02,0.1298,0.5858,"HET2",1.278185e+02,9.123474e+01,1.952100e+02,0.1298,0.5858,"HOM2", -2.056098364,"HOM2", -2.056098364
"28","Frenoy_H2O2",0.7878,0.0000,8.411215e+00,7.634535e+00,9.326276e+00,"HOM2", 13.82829694, 11.31034018, 16.62574760,0.7878,0.7248,"HOM2",1.382830e+01,1.131034e+01,1.662575e+01,0.7878,0.7248,"HET2",8.576075e+01,5.963533e+01,2.597854e+02,0.0092,0.7295,"HET2",8.576075e+01,5.963533e+01,2.597854e+02,0.0092,0.7295,"HOM2",-12.426197098,"HOM2",-12.426197098
"29","Frenoy_Kan_1",0.5405,0.0000,1.427491e+00,1.069957e+00,2.001564e+00,"HOM2",  2.31506765,  1.49011566,  3.92911787,0.5405,0.5049,"HOM0",1.427491e+00,1.069957e+00,2.001564e+00,0.1265,0.9061,"HET0",1.520491e+00,1.554887e-01,3.467415e+00,0.1305,0.6654,"HET0",1.520491e+00,1.554887e-01,3.467415e+00,0.1305,0.6654,"HET0",  1.546368804,"HET0",  1.691696603
"30","Frenoy_Kan_2",0.5402,0.1796,1.631758e+00,1.150781e+00,2.287977e+00,"HOM2",  2.82349569,  1.69173245,  4.79201867,0.5402,0.4680,"HOM0",1.631758e+00,1.150781e+00,2.287977e+00,0.1312,0.8753,"HET0",1.861908e+00,2.407724e-01,4.232183e+00,0.1331,0.5797,"HET0",1.861908e+00,2.407724e-01,4.232183e+00,0.1331,0.5797,"HET0",  0.338746614,"HET0",  0.840579933
"31","Frenoy_Kan_3",0.5757,0.0000,1.109214e+00,8.200192e-01,1.440396e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.4500,0.6385,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.4500,0.6385,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4500,0.6385,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4500,0.6385,"N0",  0.000000000,"N0",  0.000000000
"32","Frenoy_Kan_4",0.5801,0.4091,1.308186e+00,9.777884e-01,1.698775e+00,"HOM0",  1.30818580,  0.97778837,  1.69877545,0.4093,0.8854,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.5207,0.6939,"HET0",1.072316e+00,0.000000e+00,2.577706e+00,0.4038,0.7186,"HET0",1.072316e+00,0.000000e+00,2.577706e+00,0.4038,0.7186,"HET0",  1.005184565,"HET0",  0.892592606
"33","Frenoy_Kan",0.7890,0.0000,8.356226e-01,7.212969e-01,9.576594e-01,"N2",  1.00000000,  1.00000000,  1.00000000,0.6964,0.7080,"N2",1.000000e+00,1.000000e+00,1.000000e+00,0.6964,0.7080,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.0021,0.9814,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.0021,0.9814,"N2",-12.903062120,"N2",-12.820282009
"34","Frenoy_Nor_1",0.8165,0.0000,4.746511e+00,2.574961e+00,7.787443e+00,"HOM1",  4.19004324,  2.24151916,  6.99745288,0.3307,0.7078,"HOM1",4.190043e+00,2.241519e+00,6.997453e+00,0.3307,0.7078,"HET0",9.782134e+00,4.424347e+00,1.795754e+01,0.8180,0.3983,"HET0",9.782134e+00,4.424347e+00,1.795754e+01,0.8180,0.3983,"HET0",  2.110895890,"HET0",  2.434782530
"35","Frenoy_Nor_2",0.8172,0.0000,7.277232e+00,4.386911e+00,1.110874e+01,"HOM2", 15.24197206,  7.39874199, 24.05491945,0.4814,0.6819,"HOM2",1.524197e+01,7.398742e+00,2.405492e+01,0.4814,0.6819,"HET0",1.679843e+01,9.653331e+00,2.710368e+01,0.8053,0.8069,"HET0",1.679843e+01,9.653331e+00,2.710368e+01,0.8053,0.8069,"HET0",  1.843326959,"HET0",  2.616715732
"36","Frenoy_Nor_3",0.8176,0.0000,8.941831e+00,6.203870e+00,1.222348e+01,"HOM2", 13.26279099,  7.68487407, 24.08700947,0.4792,0.3897,"HOM2",1.326279e+01,7.684874e+00,2.408701e+01,0.4792,0.3897,"HET0",2.507520e+01,1.677941e+01,3.658754e+01,0.8160,0.2042,"HET0",2.507520e+01,1.677941e+01,3.658754e+01,0.8160,0.2042,"HET0",  0.442202099,"HET0",  1.105767990
"37","Frenoy_Nor_4",0.8127,0.0000,5.590833e+00,3.761866e+00,7.838953e+00,"HOM0",  5.59083256,  3.76186593,  7.83895339,0.8127,0.7182,"HOM0",5.590833e+00,3.761866e+00,7.838953e+00,0.8127,0.7182,"HET2",3.829045e+01,1.516615e+01,1.511731e+04,0.8138,0.4995,"HET2",3.829045e+01,1.516615e+01,1.511731e+04,0.8138,0.4995,"HOM0", -3.342865598,"HOM0", -4.006431490
"38","Frenoy_Nor_5",0.8113,0.0000,1.908107e+01,1.306418e+01,2.637834e+01,"HOM1", 17.39650255, 11.42516073, 25.57468342,0.2923,0.7344,"HOM1",1.739650e+01,1.142516e+01,2.557468e+01,0.2923,0.7344,"HET2",7.357240e+01,4.515874e+01,2.617890e+04,0.8162,0.4600,"HET2",7.357240e+01,4.515874e+01,2.617890e+04,0.8162,0.4600,"HOM1", -1.860040068,"HOM1", -2.227189826
