"","ID","p_value_UT_max","p_value_test_min","M_HOM0.1","M_HOM0.2","M_HOM0.3","hom_by_AIC","M_AIC.1","M_AIC.2","M_AIC.3","p_value_UT_hom_AIC","p_value_S_hom_AIC","hom_by_AIC_corr","M_AIC_corr.1","M_AIC_corr.2","M_AIC_corr.3","p_value_UT_hom_AIC_corr","p_value_S_hom_AIC_corr","het_by_AIC","S_AIC.1","S_AIC.2","S_AIC.3","p_value_UT_het_AIC","p_value_S_het_AIC","het_by_AIC_corr","S_AIC_corr.1","S_AIC_corr.2","S_AIC_corr.3","p_value_UT_het_AIC_corr","p_value_S_het_AIC_corr","by_AIC","Delta_AIC","by_AIC_corr","Delta_AIC_corr"
"61","Schmidt_BAC_Abaylyi",0.4885,0.9682,4.013675e-01,1.596602e-01,1.009054e+00,"HOM1",  0.40206971,  0.15983482,  1.01144618,0.4885,0.4444,"HOM1",4.020697e-01,1.598348e-01,1.011446e+00,0.4885,0.4444,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.0390,0.4971,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.0390,0.4971,"HOM1", -2.206772159,"HOM1", -1.988455785
"62","Schmidt_BAC_Bsubtilis",0.6178,0.3302,1.306928e+00,6.791875e-01,2.855072e+00,"N1",  1.00000000,  1.00000000,  1.00000000,0.5272,0.4230,"N1",1.000000e+00,1.000000e+00,1.000000e+00,0.5272,0.4230,"HET0",8.797371e-01,4.216015e-02,3.020503e+00,0.4006,0.7673,"HET0",8.797371e-01,4.216015e-02,3.020503e+00,0.4006,0.7673,"N1", -0.518421363,"N1", -0.518421363
"63","Schmidt_BAC_Ecoli",0.4803,0.0084,2.118489e+00,1.100450e+00,4.220270e+00,"HOM1",  2.13543433,  1.10906662,  4.25864676,0.4803,0.4768,"HOM0",2.118489e+00,1.100450e+00,4.220270e+00,0.2977,0.2731,"HET0",7.115474e-01,0.000000e+00,2.409028e+00,0.4148,0.0721,"HET0",7.115474e-01,0.000000e+00,2.409028e+00,0.4148,0.0721,"HET0",  0.293567108,"HET0",  0.313556337
"64","Schmidt_CHX_Abaylyi",0.4579,0.4872,1.263649e+00,5.779889e-01,3.176867e+00,"N2",  1.00000000,  1.00000000,  1.00000000,0.6078,0.3217,"N2",1.000000e+00,1.000000e+00,1.000000e+00,0.6078,0.3217,"HET0",8.220031e-01,0.000000e+00,3.770501e+00,0.1402,0.7453,"HET0",8.220031e-01,0.000000e+00,3.770501e+00,0.1402,0.7453,"N2", -1.374178498,"N2", -1.242341190
"65","Schmidt_CHX_Bsubtilis",0.6111,0.0279,1.734581e+00,9.341247e-01,3.789309e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.8674,0.3307,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.8674,0.3307,"HET0",8.489059e-01,3.232815e-02,2.800430e+00,0.5933,0.4319,"HET0",8.489059e-01,3.232815e-02,2.800430e+00,0.5933,0.4319,"HET0",  2.350318930,"HET0",  2.263839864
"66","Schmidt_CHX_Ecoli",0.4700,0.0012,3.388254e+00,1.936548e+00,6.749786e+00,"HOM0",  3.38825373,  1.93654766,  6.74978551,0.3041,0.6225,"HOM0",3.388254e+00,1.936548e+00,6.749786e+00,0.3041,0.6225,"HET0",2.167182e+00,6.379609e-01,5.498904e+00,0.4280,0.1541,"HET0",2.167182e+00,6.379609e-01,5.498904e+00,0.4280,0.1541,"HET0",  2.987481036,"HET0",  2.987481036
"67","Schmidt_Cip_Abaylyi",0.4647,0.0576,1.593591e+00,7.873884e-01,4.006353e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.4797,0.1961,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.4797,0.1961,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4797,0.1961,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4797,0.1961,"N0",  0.000000000,"N0",  0.000000000
"68","Schmidt_Cip_Bsubtilis",0.6156,0.1084,1.364828e+00,6.852933e-01,2.981558e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.7651,0.3952,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.7651,0.3952,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.7651,0.3952,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.7651,0.3952,"N0",  0.000000000,"N0",  0.000000000
"69","Schmidt_Cip_Ecoli",0.4817,0.0557,1.894040e+00,1.082533e+00,3.773142e+00,"HOM0",  1.89403967,  1.08253348,  3.77314171,0.3062,0.6321,"HOM0",1.894040e+00,1.082533e+00,3.773142e+00,0.3062,0.6321,"HET0",5.323342e-01,0.000000e+00,1.962034e+00,0.4650,0.3150,"HET0",5.323342e-01,0.000000e+00,1.962034e+00,0.4650,0.3150,"HOM0", -0.184633151,"HOM0", -0.184633151
"70","Schmidt_Cu_Abaylyi",0.4702,0.9698,4.394832e-01,1.576921e-01,1.104879e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.0578,0.6888,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.0578,0.6888,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.0578,0.6888,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.0578,0.6888,"N0",  0.000000000,"N0",  0.000000000
"71","Schmidt_Cu_Bsubtilis",0.6254,0.1632,9.960354e-01,4.993432e-01,2.175906e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.6116,0.4201,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.6116,0.4201,"HET0",6.762201e-01,0.000000e+00,2.634381e+00,0.3072,0.5053,"HET0",6.762201e-01,0.000000e+00,2.634381e+00,0.3072,0.5053,"HET0",  0.827060855,"HET0",  0.740581788
"72","Schmidt_Cu_Ecoli",0.4746,0.0067,2.197562e+00,1.256011e+00,4.377793e+00,"HOM0",  2.19756223,  1.25601101,  4.37779307,0.3097,0.5182,"HOM0",2.197562e+00,1.256011e+00,4.377793e+00,0.3097,0.5182,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.7677,0.1156,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.7677,0.1156,"HOM0", -2.150940903,"HOM0", -2.064461836
"73","Schmidt_DDAC_Abaylyi",0.4522,0.6592,8.792372e-01,4.344285e-01,2.210439e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.1919,0.6302,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.1919,0.6302,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.1919,0.6302,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.1919,0.6302,"N0",  0.000000000,"N0",  0.000000000
"74","Schmidt_DDAC_Bsubtilis",0.6113,0.8741,6.076940e-01,2.179524e-01,1.327548e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.3949,0.7905,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.3949,0.7905,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.3949,0.7905,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.3949,0.7905,"N0",  0.000000000,"N0",  0.000000000
"75","Schmidt_DDAC_Ecoli",0.4669,0.0014,2.593054e+00,1.482053e+00,5.165657e+00,"HOM0",  2.59305393,  1.48205327,  5.16565736,0.3004,0.6301,"HOM0",2.593054e+00,1.482053e+00,5.165657e+00,0.3004,0.6301,"HET0",1.633329e+00,2.715815e-01,4.491297e+00,0.4472,0.2034,"HET0",1.633329e+00,2.715815e-01,4.491297e+00,0.4472,0.2034,"HOM0", -0.058647108,"HOM0", -0.058647108
"76","Schmidt_Trim_Abaylyi",0.4750,1.0000,6.918968e-02,3.948013e-03,3.046094e-01,"HOM1",  0.07017527,  0.00400441,  0.30898585,0.4750,0.3550,"HOM0",6.918968e-02,3.948013e-03,3.046094e-01,0.2519,0.2982,"HET2",4.770066e+06,0.000000e+00,1.688826e+11,0.2591,0.3810,"HET2",4.770066e+06,0.000000e+00,1.688826e+11,0.2591,0.3810,"HOM1", -3.415388094,"HOM0", -3.610306485
"77","Schmidt_Trim_Bsubtilis",0.6162,0.9854,5.787728e-01,2.648608e-01,1.264368e+00,"N1",  1.00000000,  1.00000000,  1.00000000,0.1426,0.7885,"N1",1.000000e+00,1.000000e+00,1.000000e+00,0.1426,0.7885,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.3107,0.8796,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.3107,0.8796,"N1", -1.996529040,"N1", -1.910049974
"78","Schmidt_Trim_Ecoli",0.5029,0.1136,1.253510e+00,5.733844e-01,2.497135e+00,"N1",  1.00000000,  1.00000000,  1.00000000,0.6112,0.3048,"N1",1.000000e+00,1.000000e+00,1.000000e+00,0.6112,0.3048,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.3981,0.1570,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.3981,0.1570,"N1", -0.313037222,"N1", -0.226558155
"79","TorresBarcelo_Cip_lexA",0.7310,0.0000,2.364559e+00,1.158319e+00,3.382833e+00,"N2",  1.00000000,  1.00000000,  1.00000000,0.5027,0.5886,"N2",1.000000e+00,1.000000e+00,1.000000e+00,0.5027,0.5886,"HET2",2.263394e+06,3.214989e+05,4.245090e+08,0.3546,0.5575,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4382,0.0176,"N2", -2.220242959,"N2", -1.987626575
"80","TorresBarcelo_Cip_PA01",0.7897,0.0000,2.327136e+00,1.281594e+00,3.343727e+00,"N2",  1.00000000,  1.00000000,  1.00000000,0.4548,0.5126,"N2",1.000000e+00,1.000000e+00,1.000000e+00,0.4548,0.5126,"HET2",4.408206e+00,3.812778e-02,1.056382e+03,0.6351,0.5047,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.7740,0.0139,"N2", -2.174923870,"N2", -2.264855574
"81","Vasse_Amp_10",0.6642,0.0000,9.632275e-01,6.500037e-01,1.327220e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.6297,0.8499,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.6297,0.8499,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.6297,0.8499,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.6297,0.8499,"N0",  0.000000000,"N0",  0.000000000
"82","Vasse_Amp_32",0.6548,0.9798,7.652777e-01,5.076106e-01,1.071668e+00,"N2",  1.00000000,  1.00000000,  1.00000000,0.3595,0.5061,"N2",1.000000e+00,1.000000e+00,1.000000e+00,0.3595,0.5061,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.5072,0.9778,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.5072,0.9778,"N2", -1.594019994,"N2", -0.941038567
"83","Vasse_Cip",0.6589,0.0000,1.511028e+00,1.002753e+00,2.103865e+00,"HOM0",  1.51102772,  1.00275306,  2.10386530,0.6589,0.4810,"HOM0",1.511028e+00,1.002753e+00,2.103865e+00,0.6589,0.4810,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.7711,0.1934,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.7711,0.1934,"HOM0", -0.908199008,"HOM0", -0.654411129
"84","Vasse_Cm_015",0.6592,0.0000,8.539635e-01,5.400291e-01,1.240747e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.5995,0.1735,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.5995,0.1735,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.5995,0.1735,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.5995,0.1735,"N0",  0.000000000,"N0",  0.000000000
"85","Vasse_Cm_15",0.6588,0.0000,1.101066e+00,7.381828e-01,1.524121e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.6992,0.5485,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.6992,0.5485,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.6992,0.5485,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.6992,0.5485,"N0",  0.000000000,"N0",  0.000000000
"86","Vasse_Kan",0.6545,0.0001,3.067338e-01,7.777304e-02,7.705621e-01,"HOM0",  0.30673379,  0.07777304,  0.77056213,0.6545,0.1962,"HOM0",3.067338e-01,7.777304e-02,7.705621e-01,0.6545,0.1962,"HET2",6.306780e+06,0.000000e+00,1.507046e+10,0.6563,0.4614,"HET2",6.306780e+06,0.000000e+00,1.507046e+10,0.6563,0.4614,"HOM0", -2.070825680,"HOM0", -3.029159013
"87","Vasse_MMC",0.6514,0.0000,6.103153e+01,1.936531e+01,1.371451e+02,"HOM0", 61.03153365, 19.36530775,137.14506677,0.6514,0.3492,"HOM0",6.103153e+01,1.936531e+01,1.371451e+02,0.6514,0.3492,"HET2",4.862301e+01,1.411165e+01,8.228804e+04,0.6541,0.4799,"HET2",4.862301e+01,1.411165e+01,8.228804e+04,0.6541,0.4799,"HOM0", -3.596865121,"HOM0", -4.555198455
"88","Vasse_Nal",0.6603,0.0000,9.311279e-01,5.731781e-01,1.362582e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.6290,0.1164,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.6290,0.1164,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.6290,0.1164,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.6290,0.1164,"N0",  0.000000000,"N0",  0.000000000
"89","Vasse_Nor_0005",0.6618,0.0000,6.718104e-01,4.158551e-01,9.853970e-01,"HOM0",  0.67181036,  0.41585506,  0.98539704,0.6618,0.5512,"HOM0",6.718104e-01,4.158551e-01,9.853970e-01,0.6618,0.5512,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4481,0.7288,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.4481,0.7288,"HOM0", -0.586460822,"HOM0", -0.332672943
"90","Vasse_Nor_005",0.6440,0.0000,3.673350e+00,1.956096e+00,6.075497e+00,"HOM0",  3.67335049,  1.95609635,  6.07549706,0.6440,0.5212,"HOM0",3.673350e+00,1.956096e+00,6.075497e+00,0.6440,0.5212,"HET0",6.478433e+00,2.095366e+00,1.311095e+01,0.6762,0.1148,"HET0",6.478433e+00,2.095366e+00,1.311095e+01,0.6762,0.1148,"HOM0", -0.375767649,"HOM0", -0.375767649
"91","Vasse_Strep",0.6642,0.0000,1.085300e+00,3.496738e-01,2.398093e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.6681,0.2673,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.6681,0.2673,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.6681,0.2673,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.6681,0.2673,"N0",  0.000000000,"N0",  0.000000000
"92","Vasse_Tet",0.6582,0.8362,7.926240e-01,5.131647e-01,1.128458e+00,"N0",  1.00000000,  1.00000000,  1.00000000,0.5371,0.9058,"N0",1.000000e+00,1.000000e+00,1.000000e+00,0.5371,0.9058,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.5371,0.9058,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.5371,0.9058,"N0",  0.000000000,"N0",  0.000000000
"93","Vasse_Trim_0005",0.6600,0.8323,6.140149e-01,3.797164e-01,9.070171e-01,"HOM0",  0.61401486,  0.37971636,  0.90701705,0.6600,0.8057,"HOM0",6.140149e-01,3.797164e-01,9.070171e-01,0.6600,0.8057,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.3968,0.9458,"N0",0.000000e+00,0.000000e+00,0.000000e+00,0.3968,0.9458,"HOM0", -1.848786103,"HOM0", -1.594998224
"94","Vasse_Trim_005",0.6612,0.0000,1.676582e+00,1.092363e+00,2.354137e+00,"HOM0",  1.67658157,  1.09236267,  2.35413690,0.6612,0.6257,"HOM0",1.676582e+00,1.092363e+00,2.354137e+00,0.6612,0.6257,"HET0",1.769650e+00,0.000000e+00,4.555808e+00,0.6998,0.2851,"HET0",1.769650e+00,0.000000e+00,4.555808e+00,0.6998,0.2851,"HOM0", -1.582758666,"HOM0", -1.582758666
