"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",1644.2388959401,216.64901976978,1644.26358729812,216.59917696631,0.7055,0,0
"2","no_SIM_fitm",1642.33698039291,214.74710422259,1642.4115145544,214.74710422259,0.9712,0,0
"3","no_SIM_fitm_unconstr",1592.02491233782,164.4350361675,1592.17491233782,164.51050200601,0.00890000000000002,0,0
"4","hom_wo_fitm",1427.58987617032,0,1427.66441033181,0,0.2531,0.9423,0.7064
"5","hom_fitm",1428.52989518218,0.940019011860159,1428.67989518218,1.01548485037006,0.0993,0.8393,0.3968
"6","hom_fitm_unconstr",1428.31604013953,0.72616396921012,1428.56761246657,0.903202134760022,0.3169,0.5285,0.3928
"7","het_zero_div",1487.982928958,60.3930527876801,1488.05746311949,60.3930527876801,0.5157,0,0
"8","het_div",1428.38556734636,0.795691176040009,1428.63713967341,0.972729341600143,0.2598,0.5281,0.3395
