"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",52.0013530588948,4.5233012689593,53.3346863922281,0,0.486,0.2952,0.4284
"2","N1",53.9329132070974,6.4548614171619,59.9329132070974,6.5982268148693,0.5689,0.3305,0.5105
"3","N2",54.9007086613735,7.422656871438,78.9007086613735,25.5660222691454,0.3284,0.6352,0.5412
"4","HOM0",50.5551905094176,3.0771387194821,56.5551905094176,3.2205041171895,0.4095,0.9275,0.6993
"5","HOM1",51.9007928481336,4.4227410581981,75.9007928481336,22.5661064559055,0.1942,0.9421,0.4239
"6","HOM2",48.8438203918298,1.3657686018943,Inf,Inf,0.4783,0.8337,0.6164
"7","HET0",47.4780517899355,0,53.4780517899355,0.143365397707399,0.3588,0.9458,0.6273
"8","HET2",Inf,Inf,Inf,Inf,0,0,0
