"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",106.292581119425,7.7925750711903,106.335134310914,7.59048621424181,0.00429999999999997,0.9385,0.1557
"2","no_SIM_fitm",106.05966425366,7.55965820542531,106.188696511724,7.44404841505181,0.0147,0.9659,0.3524
"3","no_SIM_fitm_unconstr",108.019126349206,9.51912030097131,108.279995914423,9.5353478177508,0.0138,0.968,0.3754
"4","hom_wo_fitm",98.6156158386077,0.115609790373,98.7446480966722,0,0.2407,0.3053,0.2093
"5","hom_fitm",98.5000060482347,0,98.7608756134521,0.0162275167799066,0.4502,0.3523,0.4222
"6","hom_fitm_unconstr",100.427357700537,1.92735165230231,100.866918140097,2.12227004342481,0.4467,0.3741,0.4357
"7","het_zero_div",108.292581130322,9.79257508208731,108.421613388386,9.67696529171381,0.00380000000000003,0.9428,0.1578
"8","het_div",101.915394141822,3.41538809358731,102.354954581383,3.6103064847108,0.2572,0.3721,0.2704
