"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",223.267416898721,1.24428116372999,223.309970090211,1.15780209715601,0.6582,0.0402,0.1719
"2","N1",223.305346613072,1.282210878081,223.434378871137,1.282210878082,0.8264,0.1054,0.4165
"3","N2",225.284688684817,3.26155294982601,225.545558250034,3.39339025697899,0.8032,0.1181,0.4153
"4","HOM0",222.336692071988,0.31355633699701,222.465724330052,0.31355633699701,0.2977,0.2731,0.2218
"5","HOM1",222.316702842517,0.293567107526002,222.577572407734,0.425404414679008,0.4803,0.4768,0.4913
"6","HOM2",224.313068096135,2.289932361144,224.752628535695,2.60046054264001,0.4762,0.482,0.4916
"7","HET0",222.023135734991,0,222.152167993055,0,0.4148,0.0721,0.1335
"8","HET2",225.14695152981,3.123815794819,225.58651196937,3.43434397631501,0.2951,0.4778,0.362
