"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",108.077088006889,19.6949424089571,108.477088006889,17.0949424089571,0.9506,0.000399999999999956,0.0125
"2","no_SIM_fitm",100.470549017173,12.0884034192411,101.803882350506,10.4217367525741,0.9992,0.1327,0.7267
"3","no_SIM_fitm_unconstr",88.3821455979319,0,91.3821455979319,0,0.7815,0.4072,0.5617
"4","hom_wo_fitm",141.513620883825,53.1314752858931,142.846954217158,51.4648086192261,9.9999999999989e-05,0,0
"5","hom_fitm",92.889531092851,4.50738549491911,95.889531092851,4.50738549491911,0.8984,0.2851,0.6595
"6","hom_fitm_unconstr",89.9599789847626,1.5778333868307,95.6742646990483,4.2921191011164,0.8426,0.4594,0.6113
"7","het_zero_div",104.178643314459,15.7964977165271,105.511976647792,14.1298310498601,0.9891,0.000399999999999956,0.0226
"8","het_div",92.9902928491637,4.6081472512318,98.7045785634494,7.32243296551751,0.902,0.4554,0.7501
