"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",236.475711523224,1.59401999442599,236.596923644437,0.941038567252008,0.4878,0.9779,0.8379
"2","no_SIM_fitm",236.051182182844,1.169490654046,236.426182182844,0.770297105659012,0.1337,0.9007,0.3796
"3","no_SIM_fitm_unconstr",234.881691528798,0,235.655885077185,0,0.3534,0.5131,0.4044
"4","hom_wo_fitm",237.108782390082,2.22709086128401,237.483782390082,1.82789731289702,0.6429,0.9349,0.8772
"5","hom_fitm",236.085137802028,1.20344627322999,236.859331350415,1.20344627323001,0.1656,0.7906,0.3578
"6","hom_fitm_unconstr",236.881631234509,1.999939705711,238.214964567843,2.55907949065801,0.3541,0.5149,0.4023
"7","het_zero_div",238.475712000809,3.59402047201101,238.850712000809,3.19482692362402,0.4917,0.9799,0.8448
"8","het_div",240.559351280311,5.677659751513,241.892684613644,6.23679953645902,0.6517,0.9227,0.875
