"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",53.0646174943724,0.8180951557054,54.3979508277057,0,0.493,0.1949,0.3413
"2","N1",54.8823849579961,2.6358626193291,60.8823849579961,6.4844341302904,0.6232,0.2571,0.4797
"3","N2",55.7531028364081,3.5065804977411,79.7531028364081,25.3551520087024,0.3709,0.5526,0.5258
"4","HOM0",52.2732501302997,0.0267277916327018,58.2732501302997,3.875299302594,0.4298,0.5452,0.5493
"5","HOM1",54.2591856001389,2.0126632614719,78.2591856001389,23.8612347724332,0.3912,0.5308,0.5124
"6","HOM2",56.0953894246617,3.8488670859947,Inf,Inf,0.4866,0.4119,0.5268
"7","HET0",52.246522338667,0,58.246522338667,3.8485715109613,0.4356,0.2897,0.4005
"8","HET2",56.1255191175614,3.8789967788944,Inf,Inf,0.4267,0.4077,0.4744
