"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",248.748829017972,2.17469174132401,248.873829017972,1.91259496713101,0.7833,0.2284,0.5789
"2","N1",250.41698554736,3.84284827071201,250.804082321554,3.84284827071301,0.6438,0.1547,0.3854
"3","N2",249.059483236974,2.48534596032599,249.859483236974,2.898249186133,0.2416,0.6342,0.4009
"4","HOM0",246.574137276648,0,246.961234050841,0,0.6612,0.6257,0.7349
"5","HOM1",247.677767500387,1.103630223739,248.477767500387,1.51653344954599,0.3843,0.4423,0.4108
"6","HOM2",249.65555308849,3.08141581184199,251.034863433318,4.07362938247701,0.3561,0.48,0.4016
"7","HET0",248.156895943014,1.582758666366,248.543992717207,1.582758666366,0.6998,0.2851,0.5626
"8","HET2",Inf,Inf,Inf,Inf,0,0,0
