"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",182.466228659079,0,182.508781850568,0,0.4771,0.1858,0.2603
"2","no_SIM_fitm",182.978268745143,0.51204008606399,183.107301003207,0.598519152639,0.6075,0.3171,0.4486
"3","no_SIM_fitm_unconstr",184.715621802031,2.24939314295199,184.976491367249,2.467709516681,0.683,0.2661,0.4724
"4","hom_wo_fitm",183.620773696751,1.15454503767199,183.749805954815,1.241024104247,0.2578,0.3716,0.259
"5","hom_fitm",184.211908159094,1.745679500015,184.472777724312,1.96399587374401,0.3667,0.5166,0.4433
"6","hom_fitm_unconstr",185.87842013633,3.41219147725099,186.31798057589,3.80919872532201,0.4319,0.4604,0.4466
"7","het_zero_div",184.466297501244,2.00006884216498,184.595329759308,2.08654790873999,0.489,0.1944,0.2664
"8","het_div",187.366295123468,4.900066464389,187.805855563028,5.29707371245999,0.2542,0.4665,0.3254
