"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",920.178843216733,168.863866368035,920.247808733975,168.504260456706,0.0154,0,0
"2","N1",840.027107748317,88.712130899619,840.237634064107,88.494085786838,0.9999,0,0.0727
"3","N2",771.885133616236,20.5701567675379,772.313705044807,20.5701567675379,0.1077,0.9926,0.7607
"4","HOM0",765.935823306557,14.620846457859,766.146349622346,14.4028013450769,0.0105,0.00760000000000005,0.000199999999999978
"5","HOM1",751.314976848698,0,751.743548277269,0,0.5434,0.6555,0.6502
"6","HOM2",753.300270941543,1.98529409284492,754.027543668816,2.28399539154691,0.5742,0.6338,0.6567
"7","HET0",842.476480281138,91.16150343244,842.687006596928,90.9434583196589,0.0177,0,0
"8","HET2",760.607626642123,9.29264979342497,761.334899369395,9.59135109212593,0.0109,0.6317,0.0663
