"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",238.899424585772,0,239.020636706985,0,0.5371,0.9058,0.7941
"2","N1",239.303821847919,0.404397262147,239.678821847919,0.658185140934023,0.2076,0.7464,0.3929
"3","N2",239.857710658155,0.958286072383004,240.631904206542,1.61126749955702,0.3921,0.4285,0.4056
"4","HOM0",239.934789724488,1.035365138716,240.309789724488,1.28915301750303,0.6582,0.817,0.8184
"5","HOM1",240.04271395921,1.14328937343799,240.816907507597,1.79627080061201,0.2637,0.6245,0.3901
"6","HOM2",241.777310949752,2.87788636398,243.110644283086,4.09000757610102,0.3605,0.459,0.3941
"7","HET0",240.899424611098,2.00000002532599,241.274424611098,2.25378790411301,0.5472,0.9099,0.7965
"8","HET2",242.681764419546,3.78233983377399,244.015097752879,4.99446104589401,0.6518,0.6222,0.7148
