"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",139.08960720721,2.02834033420001,139.1321603987,1.81002396047299,0.3612,0.6135,0.5015
"2","N1",141.079561052155,4.01829417914499,141.208593310219,3.88645687199198,0.3403,0.6172,0.4777
"3","N2",137.06126687301,0,137.322136438227,0,0.6078,0.3217,0.5248
"4","HOM0",140.899647172234,3.83838029922401,141.028679430298,3.70654299207101,0.2522,0.7265,0.4951
"5","HOM1",142.890220748551,5.828953875541,143.151090313769,5.828953875542,0.2431,0.7167,0.4813
"6","HOM2",138.711804500386,1.650537627376,139.151364939947,1.82922850172,0.4579,0.4739,0.4638
"7","HET0",138.435445370636,1.37417849762599,138.564477628701,1.24234119047401,0.1402,0.7453,0.3688
"8","HET2",144.522782374626,7.46151550161599,144.962342814186,7.640206375959,0.3345,0.6522,0.5043
