"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",652.460503634956,209.816006382825,652.547460156695,208.972730346424,0.3213,0,0
"2","N1",571.890912051028,129.246414798897,572.157578717694,128.582848907423,1,0.000499999999999945,0.517
"3","N2",537.602089204661,94.95759195253,538.147543750115,94.572813939844,0.1823,0.752,0.4979
"4","HOM0",456.220862875539,13.576365623408,456.487529542206,12.912799731935,0.1275,0.9998,0.8491
"5","HOM1",451.129390308201,8.48489305607001,451.674844853656,8.10011504338502,0.00639999999999996,0.9514,0.1396
"6","HOM2",442.644497252131,0,443.574729810271,0,0.5404,0.5625,0.5919
"7","HET0",469.592201338262,26.947704086131,469.858868004928,26.284138194657,0.2531,0,0.000700000000000034
"8","HET2",444.700595616511,2.05609836438003,445.63082817465,2.05609836437901,0.1298,0.5858,0.2245
