"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",200.493798639694,0.313037221640997,200.536351831184,0.226558155065987,0.3894,0.1604,0.1939
"2","no_SIM_fitm",200.180761418053,0,200.309793676118,0,0.595,0.2931,0.4389
"3","no_SIM_fitm_unconstr",202.095199944817,1.914438526764,202.356069510034,2.04627583391598,0.5633,0.3296,0.4338
"4","hom_wo_fitm",202.268154807167,2.087393389114,202.397187065232,2.087393389114,0.2999,0.2412,0.2005
"5","hom_fitm",201.943968867491,1.763207449438,202.204838432709,1.89504475659101,0.4786,0.4202,0.4519
"6","hom_fitm_unconstr",203.871874350603,3.69111293255,204.311434790163,4.00164111404499,0.4643,0.4438,0.4608
"7","het_zero_div",202.36792780585,2.18716638779699,202.496960063914,2.187166387796,0.3521,0.1751,0.1935
"8","het_div",204.516418850045,4.33565743199199,204.955979289605,4.64618561348701,0.3048,0.4206,0.3248
