"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",129.509608245371,63.7691061934954,130.509608245371,57.6657744889554,0,0,0
"2","no_SIM_fitm",68.8438337564156,3.10333170454001,72.8438337564156,0,0.5947,0.1453,0.2882
"3","no_SIM_fitm_unconstr",67.7094242583814,1.96892220650581,79.7094242583814,6.8655905019658,0.2619,0.4782,0.3219
"4","hom_wo_fitm",136.848359091011,71.1078570391354,140.848359091011,68.0045253345954,0,0,0
"5","hom_fitm",65.7405020518756,0,77.7405020518756,4.89666829545999,0.24,0.6008,0.37
"6","hom_fitm_unconstr",66.5878322206855,0.847330168809904,106.587832220685,33.7439984642694,0.4351,0.4509,0.4685
"7","het_zero_div",76.4814910146679,10.7409889627923,80.4814910146679,7.63765725825229,0.0168,0.00749999999999995,0.000800000000000023
"8","het_div",72.6022804444684,6.86177839259281,112.602280444468,39.7584466880524,0.012,0.4548,0.0292
