"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",47.2033707319501,0,48.5367040652835,0,0.4564,0.551,0.5866
"2","N1",49.1559263186254,1.9525555866753,55.1559263186254,6.6192222533419,0.3764,0.522,0.4982
"3","N2",51.1490403243781,3.945669592428,75.1490403243781,26.6123362590946,0.3916,0.5082,0.5006
"4","HOM0",49.0527571261613,1.8493863942112,55.0527571261613,6.5160530608778,0.4183,0.6375,0.595
"5","HOM1",50.9980133793754,3.7946426474253,74.9980133793754,26.4613093140919,0.3497,0.6033,0.5171
"6","HOM2",52.5320474348225,5.3286767028724,Inf,Inf,0.4835,0.3956,0.5095
"7","HET0",48.7855690392984,1.5821983073483,54.7855690392984,6.2488649740149,0.4116,0.5618,0.5446
"8","HET2",Inf,Inf,Inf,Inf,0,0,0
