"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",259.111714543826,0.90819900785101,259.232926665038,0.654411129063021,0.7711,0.1934,0.5299
"2","N1",260.930620274974,2.727104738999,261.305620274974,2.727104738999,0.6655,0.1372,0.3842
"3","N2",259.899186617767,1.695671081792,260.673380166154,2.09486463017902,0.3014,0.5729,0.4198
"4","HOM0",258.203515535975,0,258.578515535975,0,0.6589,0.481,0.6474
"5","HOM1",259.836128534143,1.63261299816799,260.61032208253,2.031806546555,0.4938,0.3253,0.425
"6","HOM2",261.483293470824,3.27977793484899,262.816626804157,4.23811126818202,0.3515,0.4914,0.4083
"7","HET0",259.281970282524,1.07845474654903,259.656970282524,1.07845474654903,0.706,0.2203,0.4988
"8","HET2",264.858712430909,6.65519689493402,266.192045764242,7.613530228267,0.7647,0.2046,0.5407
