"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",249.603452440587,11.232031416133,249.646005632076,11.145552349557,0.9038,0.0347,0.3401
"2","N1",251.60086834534,13.229447320886,251.729900603404,13.229447320885,0.9143,0.0382,0.3521
"3","N2",252.597037308703,14.225616284249,252.857906873921,14.357453591402,0.965,0.0155999999999999,0.4602
"4","HOM0",241.358902060683,2.98748103622898,241.487934318748,2.98748103622898,0.3041,0.6225,0.4581
"5","HOM1",243.358349113091,4.986928088637,243.619218678309,5.11876539579001,0.2992,0.6296,0.4699
"6","HOM2",243.83902206505,5.46760104059598,244.27858250461,5.778129222091,0.47,0.4709,0.4808
"7","HET0",238.371421024454,0,238.500453282519,0,0.428,0.1541,0.225
"8","HET2",252.16278151451,13.791360490056,252.60234195407,14.101888671551,0.8901,0.0564,0.385
