"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",275.879900770544,4.96810556148199,275.922453962033,4.88162649490602,0.8815,0.1061,0.4584
"2","N1",277.873419428684,6.96162421962197,278.002451686749,6.96162421962202,0.885,0.1186,0.4687
"3","N2",278.973751539964,8.06195633090198,279.234621105182,8.19379363805501,0.9519,0.062,0.5577
"4","HOM0",270.911795209062,0,271.040827467127,0,0.3004,0.6301,0.4667
"5","HOM1",272.908502418699,1.99670720963701,273.169371983917,2.12854451679004,0.2978,0.6168,0.4562
"6","HOM2",273.359840328775,2.44804511971302,273.799400768335,2.758573301208,0.4669,0.4575,0.462
"7","HET0",270.970442316945,0.0586471078830186,271.09947457501,0.0586471078830186,0.4472,0.2034,0.2776
"8","HET2",273.144742766627,2.23294755756501,273.584303206188,2.54347573906102,0.3894,0.2354,0.2633
