"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",641.518329067946,29.156637604767,641.586125678115,29.017537663211,0.9628,9.9999999999989e-05,0.0248
"2","N1",642.894157414124,30.532465950945,643.101053965848,30.532465950944,0.9912,0.001,0.0893
"3","N2",623.364036312782,11.002344849603,623.785088944361,11.216500929457,0.3003,0.5825,0.4636
"4","HOM0",612.361691463179,0,612.568588014904,0,0.8655,0.2479,0.6118
"5","HOM1",614.360841096442,1.99914963326296,614.781893728021,2.21330571311705,0.8721,0.2585,0.6181
"6","HOM2",614.648390653141,2.28669918996195,615.362676367427,2.79408835252298,0.6179,0.5549,0.6332
"7","HET0",631.367544713246,19.005853250067,631.574441264971,19.005853250067,0.9533,0.000399999999999956,0.0342
"8","HET2",615.527117755612,3.16542629243304,616.241403469898,3.67281545499407,0.8683,0.5604,0.8145
