"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",124.197241296977,25.3661231881949,124.597241296977,22.766123188195,0.9445,0,0.00280000000000002
"2","no_SIM_fitm",110.905431667613,12.0743135588309,112.238765000946,10.407646892164,0.9987,0.0597,0.6331
"3","no_SIM_fitm_unconstr",98.8311181087821,0,101.831118108782,0,0.7968,0.217,0.3531
"4","hom_wo_fitm",146.862585353875,48.0314672450929,148.195918687208,46.364800578426,0,0,0
"5","hom_fitm",103.695042032367,4.86392392358489,106.695042032367,4.86392392358501,0.9045,0.1623,0.5632
"6","hom_fitm_unconstr",100.34775891081,1.51664080202789,106.062044625096,4.230926516314,0.8479,0.2441,0.4009
"7","het_zero_div",118.663850208805,19.8327321000229,119.997183542139,18.166065433357,0.9907,0,0.00380000000000003
"8","het_div",103.378054048961,4.5469359401789,109.092339763246,7.26122165446401,0.8948,0.2482,0.568
