"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",2002.30057614134,12.90306211999,2002.31696958396,12.82028200889,0.000600000000000045,0.9782,0.0552
"2","no_SIM_fitm",1997.3620555418,7.96454152044998,1997.41143825785,7.9147506827801,0.0923,0.9989,0.7444
"3","no_SIM_fitm_unconstr",1989.39751402135,0,1989.49668757507,0,0.4678,0.686,0.5946
"4","hom_wo_fitm",2000.06056660598,10.6630525846301,2000.10994932203,10.61326174696,0.003,0.8991,0.0658
"5","hom_fitm",1996.45412924843,7.0566152270801,1996.55330280215,7.0566152270801,0.158,0.9844,0.683
"6","hom_fitm_unconstr",1989.97737693629,0.579862914940122,1990.14335204003,0.646664464960168,0.5606,0.5691,0.5987
"7","het_zero_div",2004.30057615559,14.9030621342401,2004.34995887164,14.85327129657,0.000299999999999967,0.9784,0.0573
"8","het_div",2002.41545541217,13.0179413908202,2002.5814305159,13.08474294083,0.00290000000000001,0.5935,0.0171
