"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",624.750524807263,76.092398826473,624.799907523313,75.6289610297019,0.862,0,0.001
"2","no_SIM_fitm",616.688303612089,68.030177631299,616.838303612089,67.667357118478,0.9706,0,0.00660000000000005
"3","no_SIM_fitm_unconstr",574.138172411935,25.480046431145,574.441969880289,25.2710233866779,0.2869,0.6391,0.437
"4","hom_wo_fitm",583.933476004265,35.275350023475,584.083476004265,34.9125295106539,0.8592,0.00309999999999999,0.2244
"5","hom_fitm",549.166424456524,0.508298475734023,549.470221924879,0.299275431267915,0.411,0.7581,0.5669
"6","hom_fitm_unconstr",548.65812598079,0,549.170946493611,0,0.6033,0.188,0.4953
"7","het_zero_div",549.720655212749,1.06252923195893,549.870655212749,0.699708719138016,0.9785,0.2288,0.9363
"8","het_div",552.527401090455,3.86927510966495,553.040221603275,3.86927510966393,0.9768,0.3034,0.9486
