"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",267.179175590884,17.893838927247,267.279175590884,17.686146619555,0.8859,0.00139999999999996,0.0606
"2","no_SIM_fitm",265.1412699929,15.855933329263,265.448962300592,15.855933329263,0.2576,0.00139999999999996,0.00419999999999998
"3","no_SIM_fitm_unconstr",264.75892816182,15.473591498183,265.390507109188,15.797478137859,0.1475,0.0461,0.0309
"4","hom_wo_fitm",251.759574212587,2.47423754895001,252.067266520279,2.47423754894999,0.807,0.7852,0.8928
"5","hom_fitm",251.396232553506,2.110895889869,252.027811500875,2.434782529546,0.3169,0.7148,0.5239
"6","hom_fitm_unconstr",251.699635154455,2.414298490818,252.780716235536,3.187687264207,0.4635,0.4507,0.4637
"7","het_zero_div",249.285336663637,0,249.593028971329,0,0.8015,0.3959,0.7375
"8","het_div",252.898132140701,3.612795477064,253.979213221782,4.386184250453,0.7979,0.5085,0.7847
