"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",138.65591927252,0,138.698472464009,0,0.0578,0.6888,0.2269
"2","N1",139.038388563119,0.382469290599005,139.167420821184,0.468948357175009,0.1303,0.7912,0.4289
"3","N2",140.856990196195,2.20107092367499,141.117859761413,2.419387297404,0.154,0.7456,0.3881
"4","HOM0",138.814137568333,0.158218295812986,138.943169826398,0.24469736238899,0.2532,0.3708,0.2556
"5","HOM1",139.197612263077,0.541692990556982,139.458481828294,0.760009364284997,0.4213,0.5031,0.4725
"6","HOM2",141.059658972369,2.40373969984898,141.499219411929,2.80074694792,0.4702,0.4628,0.4773
"7","HET0",140.655919314712,2.000000042192,140.784951572777,2.086479108768,0.0552,0.682,0.2264
"8","HET2",142.547773576676,3.891854304156,142.987334016237,4.28886155222801,0.2506,0.4593,0.3175
