"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",71.2118373645714,8.29582787709129,72.2118373645714,5.2958278770913,0.4797,0.0575,0.1179
"2","N1",71.5504448426444,8.63443535516429,75.5504448426444,8.6344353551643,0.8034,0.2076,0.4785
"3","N2",70.0738537269811,7.157844239501,82.0738537269811,15.157844239501,0.3087,0.6747,0.5979
"4","HOM0",63.0232292112524,0.107219723772296,67.0232292112524,0.107219723772303,0.4184,0.8469,0.7235
"5","HOM1",64.3855856765845,1.46957618910439,76.3855856765845,9.4695761891044,0.2325,0.7193,0.4615
"6","HOM2",65.1648580176298,2.24884853014969,105.16485801763,38.2488485301499,0.4824,0.4157,0.5145
"7","HET0",62.9160094874801,0,66.9160094874801,0,0.4661,0.2806,0.3895
"8","HET2",65.2854638965111,2.369454409031,105.285463896511,38.3694544090309,0.4257,0.4732,0.5056
