"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",191.990696490736,3.00580839351701,192.172514672554,1.98762657533501,0.4382,0.0176,0.048
"2","N1",191.111342026871,2.126453929652,191.6827705983,1.49788250108102,0.852,0.1131,0.4128
"3","N2",188.984888097219,0,190.184888097219,0,0.5027,0.5886,0.6011
"4","HOM0",192.905060395019,3.92017229780001,193.476488966447,3.29160086922801,0.1163,0.0744,0.0405
"5","HOM1",189.538334228665,0.553446131446009,190.738334228665,0.553446131446009,0.731,0.3733,0.5953
"6","HOM2",190.897921372637,1.913033275418,193.003184530532,2.81829643331301,0.5507,0.5525,0.6055
"7","HET0",193.659114285058,4.674226187839,194.230542856487,4.04565475926802,0.4251,0.0154,0.046
"8","HET2",191.205131056276,2.220242959057,193.310394214171,3.12550611695201,0.3546,0.5575,0.4836
