"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",54.3917324706085,3.6401660643243,55.7250658039419,0,0.4647,0.179,0.3008
"2","no_SIM_fitm",56.0574449207897,5.3058785145055,62.0574449207897,6.3323791168478,0.6188,0.2577,0.4633
"3","no_SIM_fitm_unconstr",56.627964718866,5.8763983125818,80.627964718866,24.9028989149241,0.3458,0.5303,0.4642
"4","hom_wo_fitm",52.1781718731999,1.4266054669157,58.1781718731999,2.453106069258,0.411,0.7744,0.6292
"5","hom_fitm",53.8036345792187,3.0520681729345,77.8036345792187,22.0785687752768,0.2478,0.7231,0.4335
"6","hom_fitm_unconstr",54.4232253433725,3.6716589370883,Inf,Inf,0.461,0.3853,0.4859
"7","het_zero_div",50.7515664062842,0,56.7515664062842,1.0265006023423,0.4079,0.5077,0.5124
"8","het_div",Inf,Inf,Inf,Inf,0,0,0
