"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",522.870338238675,71.65805430801,522.959227127563,71.4742159241711,0.2784,0,0
"2","N1",488.728162152025,37.51587822136,489.000889424753,37.515878221361,0.9957,0.6001,0.9762
"3","N2",477.44866658052,26.236382649855,478.006806115404,26.521794912012,0.1902,0.9837,0.8202
"4","HOM0",451.212283930665,0,451.485011203392,0,0.126,0.8023,0.3779
"5","HOM1",452.974790047691,1.76250611702596,453.532929582575,2.04791837918299,0.1828,0.8964,0.5443
"6","HOM2",453.123788996367,1.91150506570199,454.076169948748,2.59115874535598,0.5433,0.7142,0.6852
"7","HET0",497.530713289728,46.318429359063,497.803440562455,46.318429359063,0.3227,9.9999999999989e-05,0.000499999999999945
"8","HET2",455.143393238015,3.93110930734997,456.095774190396,4.61076298700402,0.1231,0.7253,0.3226
