"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",362.154715662576,0,362.241672184315,0,0.45,0.6385,0.5874
"2","N1",364.15259153593,1.99787587335402,364.419258202597,2.177586018282,0.442,0.6309,0.575
"3","N2",366.143443157864,3.988727495288,366.688897703318,4.44722551900298,0.4564,0.5979,0.5624
"4","HOM0",363.854466225528,1.69975056295198,364.121132892195,1.87946070788001,0.4112,0.7157,0.6121
"5","HOM1",365.854447734243,3.69973207166703,366.399902279697,4.15823009538201,0.4115,0.7152,0.6144
"6","HOM2",367.229004514224,5.07428885164802,368.159237072364,5.91756488804901,0.5757,0.5176,0.5946
"7","HET0",363.333947585544,1.17923192296803,363.600614252211,1.35894206789601,0.3953,0.6283,0.549
"8","HET2",Inf,Inf,Inf,Inf,0,0,0
