"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",169.590622385967,3.283037391791,169.772440567785,2.264855573609,0.774,0.0139,0.103
"2","N1",170.698157518257,4.39057252408099,171.269586089686,3.76200109550999,0.9159,0.0561,0.3221
"3","N2",166.307584994176,0,167.507584994176,0,0.4548,0.5126,0.5209
"4","HOM0",167.723274495358,1.41568950118199,168.294703066787,0.787118072611008,0.4033,0.0882,0.1381
"5","HOM1",167.86262065828,1.555035664104,169.06262065828,1.555035664104,0.7897,0.2472,0.526
"6","HOM2",168.295290135758,1.98770514158198,170.400553293652,2.892968299476,0.4835,0.4978,0.5269
"7","HET0",169.231885764633,2.924300770457,169.803314336062,2.29572934188599,0.7122,0.0174,0.0979
"8","HET2",168.482508863729,2.174923869553,170.587772021623,3.08018702744701,0.6351,0.5047,0.6205
