"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",676.512918464249,0,676.584347035678,0,0.9521,0.4821,0.8682
"2","N1",678.455586932106,1.94266846785706,678.673768750288,2.08942171461001,0.9344,0.422,0.8165
"3","N2",679.929644845872,3.41672638162299,680.374089290317,3.78974225463901,0.8531,0.56,0.8139
"4","HOM0",678.341259730385,1.82834126613602,678.559441548566,1.97509451288806,0.964,0.4488,0.8694
"5","HOM1",680.279775184229,3.76685671998007,680.724219628674,4.13987259299597,0.9521,0.3821,0.819
"6","HOM2",678.84095842398,2.32803995973109,679.595675405113,3.01132836943498,0.6339,0.7781,0.8028
"7","HET0",678.512918497246,2.00000003299704,678.731100315428,2.14675327974999,0.9477,0.4785,0.8626
"8","HET2",681.355665712741,4.84274724849206,682.110382693874,5.52603565819607,0.9623,0.7798,0.9653
