"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",252.303350072996,2.15094090305902,252.345903264485,2.06446183648299,0.7723,0.1121,0.3592
"2","no_SIM_fitm",254.040000045509,3.88759087557202,254.169032303574,3.88759087557199,0.8107,0.1437,0.4436
"3","no_SIM_fitm_unconstr",255.616707765081,5.46429859514402,255.877577330298,5.596135902296,0.8751,0.0994,0.4909
"4","hom_wo_fitm",250.152409169937,0,250.281441428002,0,0.3024,0.5101,0.3796
"5","hom_fitm",251.970621905144,1.818212735207,252.231491470361,1.95005004235898,0.3425,0.5778,0.4542
"6","hom_fitm_unconstr",253.229825812519,3.07741664258202,253.66938625208,3.38794482407798,0.4523,0.4688,0.4629
"7","het_zero_div",253.215257390995,3.062848221058,253.34428964906,3.06284822105798,0.6316,0.1451,0.3224
"8","het_div",254.067351091291,3.914941921354,254.506911530852,4.22547010284998,0.3002,0.4455,0.3322
