"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",100.016151429246,25.1744587129319,100.416151429246,24.2411253795986,0.3388,0.000199999999999978,0.002
"2","no_SIM_fitm",88.792736149027,13.9510434327129,90.1260694823603,13.9510434327129,0.8839,0.2876,0.6532
"3","no_SIM_fitm_unconstr",81.0074881245783,6.1657954082642,84.0074881245783,7.8324620749309,0.0746,0.7822,0.4379
"4","hom_wo_fitm",118.486684774464,43.6449920581499,119.820018107797,43.6449920581496,0.00409999999999999,0,0
"5","hom_fitm",76.9748515482201,2.133158831906,79.9748515482201,3.7998254985727,0.2936,0.567,0.4579
"6","hom_fitm_unconstr",78.6714047355576,3.8297120192435,84.3856904498433,8.2106644001959,0.4421,0.4649,0.5021
"7","het_zero_div",74.8416927163141,0,76.1750260496474,0,0.4332,0.2648,0.3501
"8","het_div",78.6833052544022,3.8416125380881,84.3975909686879,8.22256491904049,0.3986,0.4623,0.4714
