"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",407.777912044069,94.545648318589,407.861245377402,94.107242521487,0.9268,0,0
"2","N1",407.781572205632,94.549308480152,408.036891354568,94.282888498653,0.5905,0,0
"3","N2",380.623747094023,67.391483368543,381.145486224458,67.391483368543,0.0071,9.9999999999989e-05,9.9999999999989e-05
"4","HOM0",314.523819059621,1.29155533414104,314.779138208557,1.025135352642,0.8113,0.8869,0.9373
"5","HOM1",313.23226372548,0,313.754002855915,0,0.2923,0.7344,0.5413
"6","HOM2",314.006062014896,0.773798289415993,314.894950903785,1.14094804786998,0.4811,0.4495,0.4833
"7","HET0",319.413871394434,6.18160766895403,319.66919054337,5.91518768745499,0.8145,0.0232,0.3151
"8","HET2",315.092303793497,1.86004006801704,315.981192682386,2.22718982647098,0.8162,0.46,0.7589
