"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",79.9066432073696,30.6094405969842,80.3066432073696,29.6761072636508,0.00609999999999999,0.00109999999999999,9.9999999999989e-05
"2","no_SIM_fitm",49.2972026103854,0,50.6305359437188,0,0.945,0.2098,0.5898
"3","no_SIM_fitm_unconstr",49.8217842901643,0.524581679778905,52.8217842901643,2.1912483464455,0.7959,0.372,0.6281
"4","hom_wo_fitm",92.4787790358583,43.1815764254729,93.8121123691917,43.1815764254729,9.9999999999989e-05,0.002,0
"5","hom_fitm",50.5070042598125,1.2098016494271,53.5070042598125,2.8764683160937,0.8714,0.249,0.5784
"6","hom_fitm_unconstr",51.3411454789144,2.043942868529,57.0554311932001,6.4248952494813,0.8467,0.4885,0.7271
"7","het_zero_div",50.4453146030407,1.1481119926553,51.778647936374,1.1481119926552,0.8854,0.5477,0.8453
"8","het_div",54.4453695029012,5.1481668925158,60.1596552171869,9.5291192734681,0.8863,0.5559,0.8486
