"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",235.170444669611,1.84878610272398,235.291656790824,1.59499822393698,0.3968,0.9458,0.7342
"2","N1",236.333235666107,3.01157709921998,236.708235666107,3.01157709921998,0.1768,0.8703,0.4275
"3","N2",234.434465692295,1.11280712540798,235.208659240682,1.512000673795,0.4723,0.3684,0.4451
"4","HOM0",233.321658566887,0,233.696658566887,0,0.66,0.8057,0.8216
"5","HOM1",233.633798415397,0.312139848509986,234.407991963784,0.711333396897004,0.2727,0.6339,0.412
"6","HOM2",235.414854078712,2.093195511825,236.748187412046,3.051528845159,0.3678,0.5152,0.4219
"7","HET0",237.170444686258,3.848786119371,237.545444686258,3.848786119371,0.3901,0.9478,0.7267
"8","HET2",237.321658584218,4.00000001733099,238.654991917551,4.95833335066399,0.6568,0.8059,0.8135
