"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",51.7398048879547,4.9952588910851,53.073138221288,0.328592224418401,0.4691,0.2313,0.3552
"2","no_SIM_fitm",53.6659307202317,6.9213847233621,59.6659307202317,6.9213847233621,0.557,0.2823,0.4565
"3","no_SIM_fitm_unconstr",54.5290598491123,7.7845138522427,78.5290598491123,25.7845138522427,0.3239,0.55,0.474
"4","hom_wo_fitm",49.9606046971772,3.21605870030761,55.9606046971772,3.21605870030761,0.4112,0.9162,0.691
"5","hom_fitm",51.3588500411009,4.6143040442313,75.3588500411009,22.6143040442313,0.1988,0.9464,0.4333
"6","hom_fitm_unconstr",Inf,Inf,Inf,Inf,0,0,0
"7","het_zero_div",46.7445459968696,0,52.7445459968696,0,0.3579,0.9594,0.6167
"8","het_div",Inf,Inf,Inf,Inf,0,0,0
