"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",67.5924028684618,2.8373745868888,68.5924028684618,0,0.4779,0.1172,0.2157
"2","N1",69.0004069965684,4.2453787149954,73.0004069965684,4.4080041281066,0.7094,0.2331,0.4577
"3","N2",69.0296027572244,4.27457447565139,81.0296027572244,12.4371998887626,0.3549,0.5653,0.5332
"4","HOM0",65.4901991495911,0.735170868018102,69.4901991495911,0.897796281129303,0.4111,0.3756,0.4322
"5","HOM1",67.4845575968185,2.7295293152455,79.4845575968185,10.8921547283567,0.4362,0.3986,0.4659
"6","HOM2",69.4582239280059,4.7031956464329,109.458223928006,40.8658210595442,0.484,0.3537,0.4686
"7","HET0",64.755028281573,0,68.755028281573,0.162625413111201,0.4134,0.1805,0.267
"8","HET2",69.4852279966841,4.7301997151111,109.485227996684,40.8928251282222,0.4205,0.3605,0.4185
