"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","N0",559.614398066425,3.38682670654396,559.688472140499,3.23448568627805,0.9556,0.9748,0.9958
"2","N1",556.227571359881,0,556.453986454221,0,0.4715,0.8511,0.7612
"3","N2",556.73170058008,0.504129220198934,557.193239041619,0.739252587398028,0.624,0.5315,0.6445
"4","HOM0",561.560547650741,5.33297629085996,561.78696274508,5.33297629085905,0.9637,0.9656,0.9954
"5","HOM1",557.420139515237,1.19256815535596,557.881677976775,1.42769152255403,0.4662,0.7456,0.6741
"6","HOM2",558.729785973107,2.50221461322599,559.514099698597,3.060113244376,0.6342,0.5152,0.6284
"7","HET0",561.330293300396,5.10272194051493,561.556708394736,5.10272194051504,0.9403,0.9682,0.9941
"8","HET2",561.886308784126,5.65873742424492,562.670622509616,6.21663605539504,0.9571,0.7201,0.9559
