"","model","AIC","Delta_AIC","AIC_corr","Delta_AIC_corr","p_value_UT","p_value_S","p_value_joint"
"1","no_SIM_wo_fitm",55.140539808012,14.0686024462757,56.4738731413453,9.401935779609,0.4664,0.00460000000000005,0.0137
"2","no_SIM_fitm",57.0157134587518,15.9437760970155,63.0157134587518,15.9437760970155,0.5683,0.00539999999999996,0.0152
"3","no_SIM_fitm_unconstr",56.200358864051,15.1284215023147,80.200358864051,33.1284215023147,0.318,0.0594,0.0629
"4","hom_wo_fitm",44.8853831696461,3.81344580790979,50.8853831696461,3.81344580790979,0.4072,0.8577,0.6737
"5","hom_fitm",46.6686740469502,5.5967366852139,70.6686740469502,23.5967366852139,0.2831,0.8807,0.5311
"6","hom_fitm_unconstr",Inf,Inf,Inf,Inf,0,0,0
"7","het_zero_div",41.0719373617363,0,47.0719373617363,0,0.3958,0.9591,0.5811
"8","het_div",Inf,Inf,Inf,Inf,0,0,0
